name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
aardonyx,herbivorous,Early Jurassic 199-189 million years ago,South Africa,sauropod,8.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Argentina,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
achelousaurus,herbivorous,Late Cretaceous 83-70 million years ago,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
acrocanthosaurus,carnivorous,Early Cretaceous 115-105 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Egypt,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
afrovenator,carnivorous,Early Cretaceous 132-121 million years ago,Niger,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,China,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
alectrosaurus,carnivorous,Late Cretaceous 90-70 million years ago,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html
allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
alvarezsaurus,carnivorous,Late Cretaceous 89-85 million years ago,Argentina,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
amargasaurus,herbivorous,Early Cretaceous 132-127 million years ago,Argentina,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,USA,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html
ampelosaurus,herbivorous,Late Cretaceous 71-65 million years ago,France,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Le Loeuff (1995),atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html
amygdalodon,herbivorous,Mid Jurassic 177-169 million years ago,Argentina,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
anchiceratops,herbivorous,Late Cretaceous 74-70 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
anchisaurus,herbivorous,Early Jurassic 190 million years ago,USA,sauropod,2.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1885),polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html
